Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771723775	218	0	0	0	0	182756	500724	0	2063876	6817345	0	30766	0	531533	2861	865168	1139	12	943	10	36
1771723776	219	0	0	0	0	186212	511144	0	2108972	6830531	0	30910	0	532493	2867	865168	1139	12	948	10	39
1771723777	220	0	0	0	0	179868	492156	0	2070884	6843717	0	31048	0	533892	2874	865168	1139	12	953	10	39
1771723778	221	0	0	0	0	178401	487732	0	2062088	6856903	0	31192	0	535144	2883	865420	1141	12	955	10	39
1771723779	222	0	0	0	0	178399	487572	0	2062088	6870089	0	31332	0	539533	2900	869134	1150	13	960	10	39
1771723780	223	0	0	0	0	179509	639508	0	2356328	6883275	0	31474	0	540698	2908	869304	1151	13	963	12	39
1771723781	224	0	0	0	0	182429	651248	0	2379752	6896461	0	31616	0	540866	2911	869304	1151	13	966	12	39
1771723782	225	0	0	0	0	178849	489192	0	2040428	6909647	0	31756	0	542186	2924	869984	1155	13	968	10	36
1771723783	226	0	0	0	0	177852	338720	0	1757328	6922833	0	31898	0	547640	2937	870543	1158	13	972	8	37
1771723784	227	0	0	0	0	182485	651376	0	2412536	6936019	0	32040	0	548819	2946	870852	1161	13	982	12	43
1771723785	228	0	0	0	0	176939	483176	0	2053304	6949205	0	32178	0	549460	2955	871262	1165	13	982	10	39
1771723786	229	0	0	0	0	176921	483168	0	2053304	6962391	0	32320	0	550314	2967	871386	1167	13	987	10	39
1771723787	230	0	0	0	0	178897	489084	0	2065016	6975577	0	32460	0	551734	2979	871448	1168	13	992	10	39
1771723788	231	0	0	0	0	179009	637564	0	2352408	6988763	0	32600	0	552144	2985	871534	1169	13	994	12	39
1771723789	232	0	0	0	0	181337	496556	0	2079668	7001949	0	32742	0	552963	2993	871534	1169	13	999	10	39
